Trader,Asset Name,Status,Trade Type,Payout,Investment,Trader Profit,Trading Strike,Close Strike,Trading Time,Close Time
trader C,AUD/USD,Closed,Put,1.85,1000,-1000,0.69676,0.69724,2020-06-10 03:00:01.760,2020-06-10 03:05:00.000
trader C,EUR/JPY,Closed,Call,1.85,10000,8500,116.355,116.364,2020-04-27 02:30:01.370,2020-04-27 02:35:00.000
trader C,EUR/USD,Closed,Call,1.85,5000,-5000,1.09412,1.09378,2020-04-15 07:45:01.810,2020-04-15 07:50:00.000
trader C,EUR/JPY,Closed,Call,1.95,1000,950,119.699,119.716,2019-09-13 18:57:25.390,2019-09-13 18:58:25.390
trader C,EUR/USD,Closed,Put,1.85,1000,-1000,1.21202,1.21202,2020-12-03 02:55:00.520,2020-12-03 03:00:00.000
trader A,BITCOIN,Closed,Put,2.05,4549,4776.45,37689.7,37671.8,2021-06-18 09:26:55.270,2021-06-18 09:29:55.270
trader C,EUR/AUD,Closed,Call,1.85,1000,850,1.62288,1.62319,2020-11-30 12:40:04.650,2020-11-30 12:45:00.000
trader C,EUR/AUD,Closed,Put,1.85,10050,8542.5,1.72604,1.72598,2020-04-21 09:30:00.520,2020-04-21 09:30:00.520
trader C,EUR/JPY,Closed,Call,1.9,1000,-1000,116.973,116.963,2020-04-02 19:06:15.650,2020-04-02 19:09:15.650
trader C,AUD/USD,Closed,Call,1.9,1200,1080,0.7732,0.77323,2021-04-16 04:51:01.050,2021-04-16 04:52:01.050
trader C,CAD/JPY,Closed,Put,1.85,5010,4258.5,76.356,76.317,2020-05-13 14:33:02.570,2020-05-13 14:35:00.000
trader C,USD/JPY,Closed,Put,2.3,1000,1300,105.396,105.392,2021-02-24 00:54:36.700,2021-02-24 00:55:06.700
trader C,USD/JPY,Closed,Call,1.9,2000,-2000,107.289,107.286,2020-07-20 17:04:02.520,2020-07-20 17:07:02.520
trader C,USD/JPY,Closed,Put,1.9,1000,-1000,108.873,108.878,2021-03-22 00:51:23.950,2021-03-22 00:52:23.950
trader C,AUD/USD,Closed,Put,1.85,1000,-1000,0.69644,0.69679,2020-06-10 02:55:41.570,2020-06-10 03:00:00.000
trader C,NZD/USD,Closed,Put,1.85,1000,-1000,0.71521,0.71529,2021-04-15 00:44:59.330,2021-04-15 00:50:00.000
trader C,GBP/JPY,Closed,Call,1.85,2500,2125,137.06,137.071,2020-06-10 04:30:01.500,2020-06-10 04:35:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,-1000,136.389,136.387,2020-07-22 14:46:11.640,2020-07-22 14:49:11.640
trader C,USD/JPY,Closed,Put,1.88,1000,880,108.709,108.691,2019-10-31 06:40:02.010,2019-10-31 06:45:00.000
trader C,AUD/USD,Closed,Put,1.85,1000,-1000,0.64581,0.64605,2020-05-15 07:14:14.700,2020-05-15 07:20:00.000
trader C,EUR/USD,Closed,Put,1.85,1000,850,1.08097,1.08062,2020-05-15 06:04:18.090,2020-05-15 06:10:00.000
trader C,AUD/USD,Sold,Call,1.85,1000,-971.339,0.77593,0.77549,2021-03-11 14:31:11.460,2021-03-11 14:37:37.010
trader C,USD/CAD,Closed,Call,1.85,1000,850,1.29216,1.29374,2020-12-02 07:57:12.800,2020-12-02 08:05:00.000
trader C,GBP/JPY,Closed,Put,1.85,1000,-1000,139.07,139.101,2020-11-27 06:36:09.120,2020-11-27 06:40:00.000
trader C,GOLD,Closed,Put,1.85,10050,8542.5,1725.87,1724.02,2020-04-23 08:24:26.430,2020-04-23 08:35:00.000
trader C,GBP/JPY,Closed,Put,1.95,1000,950,134.96,134.958,2019-09-13 19:07:02.780,2019-09-13 19:08:02.780
trader C,AUD/USD,Closed,Put,1.88,1000,880,0.67781,0.67775,2019-09-23 02:55:01.380,2019-09-23 03:00:00.000
trader C,GBP/USD,Closed,Call,1.88,1000,880,1.28949,1.28985,2019-11-05 07:39:59.850,2019-11-05 07:45:00.000
trader C,AUD/JPY,Closed,Call,1.85,1000,-1000,68.825,68.753,2020-05-15 11:05:32.920,2020-05-15 11:10:00.000
trader C,USD/JPY,Closed,Call,1.9,1000,900,107.178,107.189,2020-05-13 04:13:03.360,2020-05-13 04:16:03.360
trader C,USD/JPY,Closed,Put,1.95,1000,950,108.449,108.446,2021-04-29 00:54:34.700,2021-04-29 00:55:04.700
trader E,GBP/JPY,Closed,Put,1.85,45000,38250,153.689,153.687,2021-06-22 02:34:59.530,2021-06-22 02:39:59.530
trader C,USD/JPY,Closed,Put,1.85,1000,-1000,104.583,104.592,2020-11-16 05:32:59.860,2020-11-16 05:40:00.000
trader C,GOLD,Closed,Put,1.88,1000,-1000,1496.63,1497.15,2019-09-27 08:58:40.550,2019-09-27 09:05:00.000
trader C,NZD/JPY,Closed,Call,1.9,2000,1800,70.427,70.434,2020-07-20 16:46:16.160,2020-07-20 16:49:16.160
trader C,GBP/USD,Closed,Call,1.88,40000,-40000,1.24016,1.23998,2020-03-13 15:59:06.770,2020-03-13 16:10:00.000
trader C,USD/JPY,Closed,Call,1.85,4000,-4000,107.825,107.817,2020-05-20 01:35:09.040,2020-05-20 01:40:09.040
trader C,EUR/GBP,Closed,Call,1.85,1000,-1000,0.87189,0.87169,2020-04-27 15:55:14.750,2020-04-27 16:05:00.000
trader C,NZD/JPY,Closed,Call,1.9,1000,900,72.057,72.063,2020-11-23 05:23:30.130,2020-11-23 05:24:30.130
trader C,GBP/JPY,Closed,Call,1.9,1000,-1000,134.173,134.172,2020-07-17 14:35:42.790,2020-07-17 14:38:42.790
trader C,USD/JPY,Closed,Call,1.85,1000,850,107.894,107.911,2020-06-09 09:00:00.660,2020-06-09 09:05:00.000
trader C,USD/CAD,Closed,Call,1.85,5010,4258.5,1.38757,1.38829,2020-05-19 14:59:46.110,2020-05-19 15:10:00.000
trader C,GBP/JPY,Closed,Call,1.95,1000,-1000,139.423,139.395,2019-11-22 15:58:59.520,2019-11-22 15:58:59.520
trader C,GBP/AUD,Closed,Call,1.88,20000,-20000,1.9471,1.94693,2020-03-03 12:00:00.030,2020-03-03 12:05:00.000
